Company,Position
Jean Cartier,Vendedor en una tienda
ViacomCBS,Talent Acquisition Head
The Nielsen Company,Analista econométrico.
AlixPartners,Consultant
PDV ,Capacitador, Consultor y Trainer Ejecutivo  en Gestión Comercial
focused moments,Organizador de eventos y reuniones
Facultad de Ciencias Economicas y Estadistica, Universidad Nacional de Rosario,Profesor Adscripto Historia Económica y Social
Instituto Universitario Escuela Argentina de Negocios,Profesor Titular
Zefir S.A.,Responsable Contable Administrativo
Nación Servicios ,Analista Sr. de datos
Oracle,CX Consultant / Analista Funcional
Oracle,Netsuite Cloud - Latin America Delivery Lead
ChinaGoAbroad.com (中国走出去),Ambassador
Via del Sur,Administrativo contable
Gobierno de la Ciudad de Buenos Aires,Analista de Presupuesto
Frelance worker,Consultor independiente
Santander Argentina,Data Scientist
Universidad Nacional de General Sarmiento,Investigador asistente
Consejo Nacional de Investigaciones Científicas y Técnicas,Investigador asistente
COREBI Data & Analytics,Data scientist
Universidad Siglo 21,Profesor
UITP,Latina America Liaison Officer - Argentina 
Autónomo,Emprendedor independiente
AUBASA S.A.,Coordinador de Estadística y Tablero de Control
IMS ARGENTINA SRL,Treasurer
antigua torino,Servicio de atención al cliente
Universidad de buenos aires,Profesor titular regular del área actuarial
Baufest,Account Manager
CONUAR Combustibles Nucleares Argentinos SA,Nuclear Engineer
zonavalue.com,Agente especial
Vision Led,Socio Gerente
Be Exponential,Directora de Consultoría NetSuite
Agencia Argentina de Inversiones y Comercio Internacional,Director de inversiones
Santander Argentina,Gerente de Gestión Integral de Riesgos (ERM)
Oracle,Senior Vice President Applications
American Express,Global Regulatory & Policy Assurance Manager
Secretaria de Derechos Humanos y Pluralismo Cultural,Compras y Contrataciones
OLADE - Organización Latinoamericana de Energía,Director de Estudios, Proyectos e Información
All Seasons Turismo,analista programador full stack
Banco Patagonia,Analista Sr. de comercio exterior Corporate
Bapro mandatos y negocios,Supervisor
Confederación Internacional de Apoyo Familiar,Presidente y Fundadora
Einstein Electronics Security ,CEO 
POLO INDUSTRIAL EZEIZA,Presidente
Consultora,Asesor financiero
PSA Policia de Seguridad Aeroportuaria,Analista Tecnico de Presupuesto
Oracle,Business Development Consultant
Ministerio de Producción de la Nación,Soporte Técnico, Administrativo y Operativo de la Unidad técnica del CONSEJO DE LA PRODUCCIÓN
Grandata,Director of Research
Argo Consultores Economicos,Consultoría de Empresas
Universität Hohenheim,Research Assistant 
Bint group,Analista de datos
YPF SA,Nuevo Profesional - Optimización y control
El Colegio de la Frontera Sur (ECOSUR),COORDINADOR DEL DEPARTAMENTO DE SOCIEDAD Y CULTURA
SALVAJE Cervecería y Charcutería ,Dircom
Ministerio de Economía, Argentina,Analista senior (Ministerio de Economía), Docente (UNLP), Investigador (UNLP)
University of Luxembourg,Doctoral Candidate in Computational Social Science
AgroserviciosBj,Social media Manager 
DXC Technology,Analista de Recaudación
BairesDev,Controlling Coordinator
Oriental Consultants Global,Environmental and Renewable Energy Consultant  
PwC Argentina,Associate 2
Fondo para la Transformación y el Crecimiento de Mendoza,Análisis Económico
YouTube,Youtuber - Especialista en Finanzas
INDEC Argentina,Coordinadora en Precios Mayoristas
Electronic IDentification (eID),Registered Nurse Operating Room
Publix Super Markets,Bakery Clerk
Oracle NetSuite,Consultant ERP Cloud
NetSuite,Consultor ERP
TIENDA MODA,Director y Fundador
Universidad de Buenos Aires,Webmaster
Banco de la Nación Argentina,Gerente de Auditoría de Procesos Centrales
GesNext,Recruiter /Selector Sr
DORIVENT SA ,General Manager
Oracle,Consultora Funcional en el Area de finanzas para ERP
DisrupTT,Team Manager 
Portal ERP,Diretor executivo do grupo
Schmitman HR,Tech Recruiter
International Fund for Agricultural Development,Consultant
UNLP-Universidad Nacional de La Plata,Docente 
Banco Interamericano de Desarrollo,Consultor 
Prosegur,Asesor comercial
3 Arroyos SA,Jefe de Planeamiento y Control de Gestión
Gobierno de la Ciudad de Buenos Aires,Analista de datos
Lotería de la provincia,Encargado
Mercado Argentino de Valores S.A.,Analista financiero
Tata Consultancy Services,Recruiter IT Senior 
Tecnosoftware,Oracle NetSuite Consultant
FIDE - Fundación de Investigaciones para el Desarrollo,President
Prisma Medios de Pago,Analista de gestion comercial Grandes Cuentas
Universidad del CEMA,Profesor Asociado
Banco de la Provincia de Buenos Aires,Analista Desarrollador Semi Sr
Ministerio de Economía,Directora de Proyecciones y Estadísticas Presupuestarias
Accenture Argentina,Financial Services Research Associate Manager
Consejo Interuniversitario Nacional,Responsable de la Unidad de Gestión de Proyectos
Lancellotti S. A.,President
ANSES,Director Ejecutivo de ANSES
Quinquela Fondos,Presidente
Consejo Profesional de Ciencias Económicas de la Provincia de Buenos Aires,Capacitación
estudio juridico,Abogado. Mediador. Profesor Universitario
Universidad de Buenos Aires,Profesor - Especialización en Mercado de Capitales (UBA-BYMA)
Secretaría de Energía ,Director Nacional de Escenarios y Planeamiento Energético
Inter-American Development Bank,Consultora
Refinería del Centro,Gerente Corporativo de Mantenimiento
Banco Central de la República Argentina,Subgerente de modelos macro-financieros
Sofrecom Argentina SA,UX Developer 
INDEC Argentina,Asesora en Dirección Nacional de Cuentas Internacionales
Universidad Nacional de Chilecito,Unidad de Gestion de Evaluacion Institucional
Ministerio de Obras Públicas,Asesor
Chevening Scholarships,MPP candidate at London School of Economics
BANCO DE LA NACION ARGENTINA,Gerente general
investBA - Agencia de Promoción de Inversiones y Comercio Exterior de la Ciudad de Buenos Aires,Analista económico
Auditoria General de la Nación.,Economista Senior
Centro iDeAS - Universidad de San Martin - Argentina,Investigador Senior
Auditoria General de la Ciudad de Buenos Aires,Jefa de Gabinete Presidencia
Universidad Nacional de General Sarmiento,Investigadora
Estudio Barbolini Peralta S.R.L,Asesoria y Consultoria en Ciencias Empresariales. Socio Gerente.
Acámica,Mentor Data Science
ANSES,Directora General de Proyectos de Niñez, Adolescencia, Juventud y Género.
Somos Pymes,Columnista
EY,Engineering Team Lead - Artificial Intelligence Client Technology
Banco de la Nación Argentina,Vicepresidente
Grupo Randazzo,Coordinador de selección de personal de RR. HH.
Jujuy Energía y Minería Sociedad del Estado,Gerente de Desarrollo Estratégico
Honorable Cámara de Senadores de la Provincia de Buenos Aires,Asesor legislativo
Universidad Nacional de General Sarmiento,Investigador-Docente
Ministerio de Hacienda,Analista. Dirección de Análisis del Sector Externo
Gobierno de la Ciudad de Buenos Aires,Gerente Operativo de Recursos Humanos
Ministerio de Producción de la Nación,Consultor Secretaria de Industria
Ministerio de Desarrollo Productivo de la Nación,Economista
CIEPP,Becaria Doctoral CONICET- Researcher Phd Candidate
Experian,Pre Sales Specialist
Ministerio de Producción - Subsecretaría de Planeamiento y Desarrollo Productivo,Analista sectorial
Zurich Santander Seguros,Lead Data Scientist
FIEL,Senior Economist
CIA EL COATI S.A.,Subgerente de Administración y Control de Gestión
Ministerio de Trabajo, Empleo y Seguridad Social,Especialista en técnicas cuantitativas
CNN Radio Argentina,Economista
Instituto de Industria, Universidad Nacional de General Sarmiento, Argentina,Investigador docente
Gobierno de la Ciudad de Buenos Aires,Director General de Coordinación de Gestión
ESEADE UNIVERSIDAD,Subdirector de la Maestría en Economía y Ciencias Políticas
International Labour Organization,Senior Regional Specialist on Wages for Asia and the Pacific
Banco Central de la República Argentina,Inspector Senior de Riesgo Crediticio
LADOS, cultura urbana,Coordinadora General de proyectos culturales
Ministerio de Hacienda,Analista Politica Fiscal
Bahía Blanca Sociedad de Bolsa S.A.,Corporate & Institutional Investors
UNGS,Senior
Instituto Nacional de Tecnologia Agropecuaria,Investigador 
Universidad de Buenos Aires,Docente
ARBA,Subdirector Ejecutivo de Recaudación y Catastro
Ministerio de Hacienda,Directora Nacional Economía y Género
Banco Central de la República Argentina,Asistente de análisis monetario
ABECEB,Analista Macroeconómico
Equifax,Líder Data Scientist
Movistar Argentina,Data Scientist - Gerencia de Big Data y Business Intelligence
UADE,Director de INECO
Orazul Energy,Líder Comercial
Estudio Contable,Asociado
Dirección Nacional SINTyS,Gestión de la Información y Calidad del Dato
Municipio de Tornquist,Director Equipo Técnico. Secretaría de Turismo
