"","Company","Position"
"283","UCL School of Management","Student Ambassador"
"284","  CF&P   ","Economist"
"285","Contador Independiente","Contador Público independiente "
"286","Oracle","Customer experience consultant"
"287","Accenture","Analista de contabilidad"
"288","Global Hitss","Data Scientist"
"289","LVM Editora","Editor Responsável"
"290","Fundación Frontera Económica ","Analista de datos"
"291","Gobierno de la Ciudad de Buenos Aires","Analista de datos"
"292","Etermax","Business Intelligence Manager"
"293","",""
"294","InvGate","Business Development Management"
"295","Universidad Nacional de La Plata","Ayudante adscripto de la cátedra de Matemática I"
"296","Caixa Econômica Federal","Técnico Bancário"
"297","Jean Cartier","Vendedor en una tienda"
"298","ViacomCBS","Talent Acquisition Head"
"299","The Nielsen Company","Analista econométrico."
"300","AlixPartners","Consultant"
"301","PDV ","Capacitador, Consultor y Trainer Ejecutivo  en Gestión Comercial"
"302","focused moments","Organizador de eventos y reuniones"
"303","Facultad de Ciencias Economicas y Estadistica, Universidad Nacional de Rosario","Profesor Adscripto Historia Económica y Social"
"304","Instituto Universitario Escuela Argentina de Negocios","Profesor Titular"
"305","Zefir S.A.","Responsable Contable Administrativo"
"306","Nación Servicios ","Analista Sr. de datos"
"307","",""
"308","Oracle","CX Consultant / Analista Funcional"
"309","Oracle","Netsuite Cloud - Latin America Delivery Lead"
"310","ChinaGoAbroad.com (中国走出去)","Ambassador"
"311","Via del Sur","Administrativo contable"
"312","Gobierno de la Ciudad de Buenos Aires","Analista de Presupuesto"
"313","Frelance worker","Consultor independiente"
"314","Santander Argentina","Data Scientist"
"315","Universidad Nacional de General Sarmiento","Investigador asistente"
"316","Consejo Nacional de Investigaciones Científicas y Técnicas","Investigador asistente"
"317","COREBI Data & Analytics","Data scientist"
"318","Universidad Siglo 21","Profesor"
"319","UITP","Latina America Liaison Officer - Argentina "
"320","Autónomo","Emprendedor independiente"
"321","AUBASA S.A.","Coordinador de Estadística y Tablero de Control"
"322","IMS ARGENTINA SRL","Treasurer"
"323","antigua torino","Servicio de atención al cliente"
"324","Universidad de buenos aires","Profesor titular regular del área actuarial"
"325","Baufest","Account Manager"
"326","CONUAR Combustibles Nucleares Argentinos SA","Nuclear Engineer"
"327","zonavalue.com","Agente especial"
"328","Vision Led","Socio Gerente"
"329","Be Exponential","Directora de Consultoría NetSuite"
"330","Agencia Argentina de Inversiones y Comercio Internacional","Director de inversiones"
"331","Santander Argentina","Gerente de Gestión Integral de Riesgos (ERM)"
"332","Oracle","Senior Vice President Applications"
"333","American Express","Global Regulatory & Policy Assurance Manager"
"334","Secretaria de Derechos Humanos y Pluralismo Cultural","Compras y Contrataciones"
"335","OLADE - Organización Latinoamericana de Energía","Director de Estudios, Proyectos e Información"
"336","All Seasons Turismo","analista programador full stack"
"337","Banco Patagonia","Analista Sr. de comercio exterior Corporate"
"338","Bapro mandatos y negocios","Supervisor"
"339","",""
"340","Confederación Internacional de Apoyo Familiar","Presidente y Fundadora"
"341","Einstein Electronics Security ","CEO "
"342","POLO INDUSTRIAL EZEIZA","Presidente"
"343","Consultora","Asesor financiero"
"344","PSA Policia de Seguridad Aeroportuaria","Analista Tecnico de Presupuesto"
"345","Oracle","Business Development Consultant"
"346","Ministerio de Producción de la Nación","Soporte Técnico, Administrativo y Operativo de la Unidad técnica del CONSEJO DE LA PRODUCCIÓN"
"347","Grandata","Director of Research"
"348","Argo Consultores Economicos","Consultoría de Empresas"
"349","Universität Hohenheim","Research Assistant "
"350","Bint group","Analista de datos"
"351","YPF SA","Nuevo Profesional - Optimización y control"
"352","El Colegio de la Frontera Sur (ECOSUR)","COORDINADOR DEL DEPARTAMENTO DE SOCIEDAD Y CULTURA"
"353","SALVAJE Cervecería y Charcutería ","Dircom"
"354","Ministerio de Economía, Argentina","Analista senior (Ministerio de Economía), Docente (UNLP), Investigador (UNLP)"
"355","University of Luxembourg","Doctoral Candidate in Computational Social Science"
"356","AgroserviciosBj","Social media Manager "
"357","DXC Technology","Analista de Recaudación"
"358","BairesDev","Controlling Coordinator"
"359","Oriental Consultants Global","Environmental and Renewable Energy Consultant  "
"360","PwC Argentina","Associate 2"
"361","Fondo para la Transformación y el Crecimiento de Mendoza","Análisis Económico"
"362","YouTube","Youtuber - Especialista en Finanzas"
"363","INDEC Argentina","Coordinadora en Precios Mayoristas"
